"claim_filed_by","regular_ui","pua_new","pua_reclassified","peuc_claims","week_ending","median"
"QUEEN ANNES",10,0,0,0,"April 13",24
"SOMERSET",9,0,0,0,"April 13",24
"ST MARYS",13,0,0,0,"April 13",24
"TALBOT",6,0,0,0,"April 13",24
"Unknown",16,0,0,0,"April 13",24
"WASHINGTON",47,0,0,0,"April 13",24
"WICOMICO",23,0,0,0,"April 13",24
"WORCESTER",17,0,0,0,"April 13",24
"ALLEGANY",21,0,0,0,"April 20",30.5
"ANNE ARUNDEL",150,0,0,0,"April 20",30.5
"BALTIMORE",356,0,0,0,"April 20",30.5
"BALTIMORE CITY",305,0,0,0,"April 20",30.5
"CALVERT",19,0,0,0,"April 20",30.5
"CAROLINE",6,0,0,0,"April 20",30.5
"CARROLL",40,0,0,0,"April 20",30.5
"CECIL",23,0,0,0,"April 20",30.5
"CHARLES",40,0,0,0,"April 20",30.5
"DORCHESTER",14,0,0,0,"April 20",30.5
"FREDERICK",81,0,0,0,"April 20",30.5
"GARRETT",8,0,0,0,"April 20",30.5
"HARFORD",80,0,0,0,"April 20",30.5
"HOWARD",83,0,0,0,"April 20",30.5
"KENT",5,0,0,0,"April 20",30.5
"MONTGOMERY",202,0,0,0,"April 20",30.5
"NON-MARYLAND",151,0,0,0,"April 20",30.5
"PRINCE GEORGES",247,0,0,0,"April 20",30.5
"QUEEN ANNES",11,0,0,0,"April 20",30.5
"SOMERSET",8,0,0,0,"April 20",30.5
"ST MARYS",7,0,0,0,"April 20",30.5
"TALBOT",7,0,0,0,"April 20",30.5
"Unknown",15,0,0,0,"April 20",30.5
"WASHINGTON",42,0,0,0,"April 20",30.5
"WICOMICO",38,0,0,0,"April 20",30.5
"WORCESTER",14,0,0,0,"April 20",30.5
"ALLEGANY",23,0,0,0,"April 27",27
"ANNE ARUNDEL",163,0,0,0,"April 27",27
"BALTIMORE",359,0,0,0,"April 27",27
"BALTIMORE CITY",291,0,0,0,"April 27",27
"CALVERT",17,0,0,0,"April 27",27
"CAROLINE",4,0,0,0,"April 27",27
"CARROLL",35,0,0,0,"April 27",27
"CECIL",22,0,0,0,"April 27",27
"CHARLES",41,0,0,0,"April 27",27
"DORCHESTER",7,0,0,0,"April 27",27
"FREDERICK",73,0,0,0,"April 27",27
"GARRETT",11,0,0,0,"April 27",27
"HARFORD",86,0,0,0,"April 27",27
"HOWARD",84,0,0,0,"April 27",27
"KENT",5,0,0,0,"April 27",27
"MONTGOMERY",226,0,0,0,"April 27",27
"NON-MARYLAND",141,0,0,0,"April 27",27
"PRINCE GEORGES",283,0,0,0,"April 27",27
"QUEEN ANNES",7,0,0,0,"April 27",27
"SOMERSET",4,0,0,0,"April 27",27
"ST MARYS",10,0,0,0,"April 27",27
"TALBOT",7,0,0,0,"April 27",27
"Unknown",18,0,0,0,"April 27",27
"WASHINGTON",37,0,0,0,"April 27",27
"WICOMICO",31,0,0,0,"April 27",27
"WORCESTER",9,0,0,0,"April 27",27
"ALLEGANY",11,0,0,0,"May 4",29.5
"ANNE ARUNDEL",174,0,0,0,"May 4",29.5
"BALTIMORE",375,0,0,0,"May 4",29.5
"BALTIMORE CITY",337,0,0,1,"May 4",29.5
"CALVERT",19,0,0,0,"May 4",29.5
"CAROLINE",11,0,0,0,"May 4",29.5
"CARROLL",35,0,0,0,"May 4",29.5
"CECIL",17,0,0,0,"May 4",29.5
"CHARLES",47,0,0,0,"May 4",29.5
"DORCHESTER",27,0,0,0,"May 4",29.5
"FREDERICK",79,0,0,0,"May 4",29.5
"GARRETT",10,0,0,0,"May 4",29.5
"HARFORD",78,0,0,0,"May 4",29.5
"HOWARD",85,0,0,0,"May 4",29.5
"KENT",0,0,0,0,"May 4",29.5
"MONTGOMERY",231,0,0,0,"May 4",29.5
"NON-MARYLAND",155,0,0,0,"May 4",29.5
"PRINCE GEORGES",245,0,0,0,"May 4",29.5
"QUEEN ANNES",15,0,0,0,"May 4",29.5
"SOMERSET",4,0,0,0,"May 4",29.5
"ST MARYS",10,0,0,0,"May 4",29.5
"TALBOT",30,0,0,0,"May 4",29.5
"Unknown",28,0,0,0,"May 4",29.5
"WASHINGTON",33,0,0,0,"May 4",29.5
"WICOMICO",29,0,0,0,"May 4",29.5
"WORCESTER",14,0,0,0,"May 4",29.5
"ALLEGANY",18,0,0,0,"May 11",32
"ANNE ARUNDEL",144,0,0,0,"May 11",32
"BALTIMORE",343,0,0,0,"May 11",32
"BALTIMORE CITY",345,0,0,0,"May 11",32
"CALVERT",24,0,0,0,"May 11",32
"CAROLINE",11,0,0,0,"May 11",32
"CARROLL",31,0,0,0,"May 11",32
"CECIL",33,0,0,0,"May 11",32
"CHARLES",45,0,0,0,"May 11",32
"DORCHESTER",8,0,0,0,"May 11",32
"FREDERICK",76,0,0,0,"May 11",32
"GARRETT",6,0,0,0,"May 11",32
"HARFORD",82,0,0,0,"May 11",32
"HOWARD",61,0,0,0,"May 11",32
"KENT",7,0,0,0,"May 11",32
"MONTGOMERY",243,0,0,0,"May 11",32
"NON-MARYLAND",171,0,0,0,"May 11",32
"PRINCE GEORGES",271,0,0,1,"May 11",32
"QUEEN ANNES",20,0,0,0,"May 11",32
"SOMERSET",6,0,0,0,"May 11",32
"ST MARYS",10,0,0,0,"May 11",32
"TALBOT",19,0,0,0,"May 11",32
"Unknown",21,0,0,0,"May 11",32
"WASHINGTON",60,0,0,0,"May 11",32
"WICOMICO",36,0,0,0,"May 11",32
"WORCESTER",9,0,0,0,"May 11",32
"ALLEGANY",16,0,0,0,"May 18",28
"ANNE ARUNDEL",156,0,0,0,"May 18",28
"BALTIMORE",363,0,0,0,"May 18",28
"BALTIMORE CITY",358,0,0,0,"May 18",28
"CALVERT",21,0,0,0,"May 18",28
"CAROLINE",14,0,0,0,"May 18",28
"CARROLL",40,0,0,0,"May 18",28
"CECIL",24,0,0,0,"May 18",28
"CHARLES",49,0,0,0,"May 18",28
"DORCHESTER",7,0,0,0,"May 18",28
"FREDERICK",65,0,0,0,"May 18",28
"GARRETT",3,0,0,0,"May 18",28
"HARFORD",68,0,0,0,"May 18",28
"HOWARD",82,0,0,0,"May 18",28
"KENT",5,0,0,0,"May 18",28
"MONTGOMERY",224,0,0,0,"May 18",28
"NON-MARYLAND",162,0,0,1,"May 18",28
"PRINCE GEORGES",259,0,0,0,"May 18",28
"QUEEN ANNES",11,0,0,0,"May 18",28
"SOMERSET",4,0,0,0,"May 18",28
"ST MARYS",16,0,0,0,"May 18",28
"TALBOT",12,0,0,0,"May 18",28
"Unknown",32,0,0,0,"May 18",28
"WASHINGTON",53,0,0,0,"May 18",28
"WICOMICO",24,0,0,0,"May 18",28
"WORCESTER",14,0,0,0,"May 18",28
"ALLEGANY",36,0,0,0,"May 25",31
"ANNE ARUNDEL",153,0,0,0,"May 25",31
"BALTIMORE",326,0,0,0,"May 25",31
"BALTIMORE CITY",381,0,0,0,"May 25",31
"CALVERT",21,0,0,0,"May 25",31
"CAROLINE",6,0,0,0,"May 25",31
"CARROLL",43,0,0,0,"May 25",31
"CECIL",22,0,0,0,"May 25",31
"CHARLES",48,0,0,0,"May 25",31
"DORCHESTER",7,0,0,0,"May 25",31
"FREDERICK",76,0,0,0,"May 25",31
"GARRETT",7,0,0,0,"May 25",31
"HARFORD",76,0,0,0,"May 25",31
"HOWARD",85,0,0,0,"May 25",31
"KENT",7,0,0,0,"May 25",31
"MONTGOMERY",226,0,0,0,"May 25",31
"NON-MARYLAND",177,0,0,0,"May 25",31
"PRINCE GEORGES",258,0,0,0,"May 25",31
"QUEEN ANNES",9,0,0,0,"May 25",31
"SOMERSET",10,0,0,0,"May 25",31
"ST MARYS",8,0,0,0,"May 25",31
"TALBOT",7,0,0,0,"May 25",31
"Unknown",22,0,0,0,"May 25",31
"WASHINGTON",46,0,0,0,"May 25",31
"WICOMICO",26,0,0,0,"May 25",31
"WORCESTER",14,0,0,0,"May 25",31
"ALLEGANY",59,0,0,0,"June 1",33.5
"ANNE ARUNDEL",134,0,0,0,"June 1",33.5
